protein name	cluster
KRT27	78
ODAD3	78
CCDC197	78
HAUS1	78
KRT24	78
KRT13	78
EAF1	79
ELL2	79
CCDC150	79
GRHL3	79
GCSAML	79
GTF2H4	79
CAGE1	80
EXOC7	80
USHBP1	80
ASB15	80
BLOC1S1	80
FCRL5	80
SYPL1	81
ARFGAP3	81
RTN4IP1	81
SCAF1	81
GGA2	81
RELA	81
GRAPL	82
GSTZ1	82
TCP11	82
MED30	82
MED28	82
MAP2K1	82
TTC33	83
VTA1	83
CHMP1B	83
VPS4B	83
MITD1	83
ZFYVE19	83
SLC4A1	84
ADAM33	84
SLC35E2A	84
STOML3	84
EPGN	84
NCR1	84
OLFM4	85
CSGALNACT2	85
CXCL9	85
EREG	85
ITM2C	85
CLEC4E	85
NFYB	86
DR1	86
DRAP1	86
POLE3	86
TBP	86
POLE4	86
ZBTB43	87
POLR2L	87
PSMA3	87
PSMA6	87
NFKBIA	87
PSMD3	87
RXRG	88
RXRB	88
NR1H3	88
BBS4	88
NR1H2	88
SPOPL	88
PALS1	89
NUMB	89
FTCD	89
SNTG2	89
SRGAP2B	89
MPP7	89
RBM41	90
KANK2	90
CDC20B	90
SNX18	90
IKZF4	90
C19orf44	90
MAGEA2B	91
MAGEA2	91
CRCP	91
ACSM1	91
ANKRD45	91
DYNLRB1	91
COX7C	91
FATE1	92
FAM221A	92
OTOP2	92
PRRG2	92
CTRL	92
NRG4	92
VSIG4	92
SH3GLB1	93
TPD52L2	93
PLIN2	93
COQ8A	93
C1D	93
TPD52	93
SIN3A	93
U2AF1	94
U2AF1L5	94
CLK1	94
SRPK2	94
CLK3	94
HOXB6	94
SRSF8	94
TMEM218	95
COL4A5	95
UNC50	95
TMEM199	95
SLC35A4	95
CD300A	95
SLC10A4	95
LMO1	96
KRBOX4	96
ZNF641	96
HNRNPM	96
ZNF460	96
AC010323.1	96
NDUFA7	96
NINJ2	97
SYS1	97
TSPO	97
NINJ1	97
VSIG1	97
CEACAM3	97
GJA1	97
ZBTB18	98
PRMT5	98
CTBP2	98
TMEM174	98
HOXA5	98
CACNB2	98
CACNB4	98
EMD	99
GRAMD2A	99
LEMD1	99
ERMAP	99
KCNN3	99
KCNJ8	99
PIMREG	99
MAPK9	100
DUSP10	100
MED12L	100
KLHL8	100
ZNF559	100
CA8	100
SULT2B1	100
MTUS2	101
DYDC1	101
BICD2	101
PPP1R16B	101
ZNF239	101
WTAP	101
ABHD15	101
ASB13	102
ASB9	102
CKM	102
LCK	102
CKMT1A	102
CKMT1B	102
OCM	102
USP15	103
STMN2	103
SIVA1	103
TEX11	103
ING3	103
DMTN	103
CEP85L	103
S100A10	104
S100B	104
S100A3	104
S100Z	104
S100P	104
S100A2	104
S100A1	104
PPFIA1	105
DYNLT1	105
DYNLT3	105
DYNC1I2	105
CCDC68	105
OLFM3	105
CCL28	105
PSMC3	106
PSMC6	106
CRK	106
PTPDC1	106
CRKL	106
USP53	106
PSMD9	106
GTPBP2	107
CLASRP	107
CLK2	107
ZNF436	107
SNRNP70	107
ZNF136	107
RSRP1	107
SCYL3	108
GABARAPL2	108
GABARAPL1	108
BSDC1	108
MAP1LC3C	108
MAP1LC3A	108
MAP1LC3B	108
ZNF219	109
CDKL3	109
AP1M1	109
ZNF707	109
BRD1	109
CASP8	109
SPATA6	109
HNRNPC	110
HNRNPCL1	110
HNRNPCL2	110
RALY	110
RALYL	110
PPP1R37	110
TIGD3	110
CDCA3	111
IKBKG	111
LCN2	111
XRN2	111
CTDSP2	111
HDDC2	111
PDIA4	111
ZNF655	112
SIGLEC6	112
THAP6	112
TEX28	112
DBF4B	112
VDR	112
OTUD4	112
AGR2	113
RCN1	113
RIIAD1	113
CREB1	113
GPSM1	113
TOX3	113
NUP62CL	113
FAM90A1	114
TBC1D22B	114
IQUB	114
PKP2	114
CCDC198	114
ERCC3	114
ARHGEF9	114
AKAP7	115
AKAP5	115
AKAP14	115
SPA17	115
RSPH3	115
PRKAR2A	115
C8orf34	115
SFMBT1	116
SCMH1	116
SFMBT2	116
SCML1	116
TFAP4	116
SCML2	116
SLF2	116
HCCS	117
SNX1	117
SENP2	117
SNX6	117
COQ3	117
ARMC12	117
SNX2	117
AGTRAP	118
COL8A2	118
SDR16C5	118
CMTM4	118
STAR	118
CACFD1	118
TFAM	118
ZNF165	119
ZNF648	119
ZNF490	119
ZNF250	119
ZNF329	119
ZCCHC13	119
ZNF668	119
NEXN	119
LSM2	120
PATL1	120
CLNS1A	120
SNRPD3	120
SNRPD2	120
LSM6	120
LSM3	120
LSM12	120
FAM177A1	121
IER3IP1	121
AC012254.2	121
DPM3	121
TMEM258	121
CERS2	121
C19orf18	121
POMK	121
SNF8	122
IQCB1	122
RPIA	122
FGF16	122
CLP1	122
SESTD1	122
PCMT1	122
DAGLB	122
BAD	123
BCL2L2	123
BCL2L1	123
BAK1	123
BCL2A1	123
MCL1	123
BNIP5	123
SLC39A6	123
TRIM41	124
ZNF792	124
ZNF275	124
CSNK2A2	124
ZNF670	124
EZHIP	124
ZNF121	124
ZNF251	124
CDC45	125
RAB4B	125
RAB4A	125
RAB4B-EGLN2	125
EXOC5	125
CRYBB1	125
RAB14	125
FAM71C	125
LUC7L2	126
SRRM4	126
ZRSR2P1	126
REP15	126
ZRSR2	126
CLK4	126
ZNF699	126
RBMX2	126
BTBD1	127
BTBD2	127
PSMD5	127
ZC2HC1A	127
ZC2HC1B	127
PSMC1	127
CASTOR1	127
TMA16	127
BAG4	128
DCX	128
PDCD6	128
TINAGL1	128
ZBTB5	128
USP22	128
PRR19	128
AASDHPPT	128
LIN7B	129
MPP3	129
LIN7A	129
LIN7C	129
CASK	129
TRIM5	129
PALS2	129
MPP2	129
PLK3	130
TBPL1	130
LSM5	130
SNRPF	130
TEX43	130
SNRPG	130
LSM7	130
SNRPE	130
THSD7A	131
LHFPL1	131
IGFBP5	131
DEFB121	131
MFSD11	131
C1QL4	131
PROKR2	131
CLDN6	131
SLC30A2	132
PCNX2	132
ORMDL1	132
CCL4	132
FDPS	132
TAS2R5	132
GLB1	132
LTA	132
LENG1	133
ANKRD23	133
ENKD1	133
GADD45GIP1	133
ZMAT2	133
A1CF	133
LGALS4	133
FOS	133
SNRNP48	133
DTX2	134
DOK6	134
TTC19	134
COA6	134
SLC22A18AS	134
SPRED1	134
TBX6	134
TENT2	134
PRR32	134
DVL3	135
GTF2A1	135
SRSF7	135
CDYL2	135
TNFAIP8L1	135
ANKRD36B	135
ABT1	135
ZBTB9	135
PRPF38A	135
ZMAT4	136
TARBP2	136
PRKRA	136
ADARB1	136
ZNF346	136
LRSAM1	136
STRBP	136
NKRF	136
STAU1	136
ZC3H10	137
TLX3	137
PITX1	137
CCDC24	137
TBX22	137
PLEKHA7	137
FAM222B	137
IGFL2	137
EPHB6	137
HBQ1	138
HBZ	138
HBA2	138
HBG2	138
HBA1	138
HBE1	138
HBD	138
HBB	138
HBM	138
CTNNA3	139
GINS3	139
RIPPLY3	139
ORC2	139
SPATS1	139
COG4	139
ZNF662	139
CENPS	139
CENPS-CORT	139
CYTH4	140
CYTH3	140
IFI35	140
IPCEF1	140
CNKSR1	140
CCDC120	140
CYTH2	140
CYTH1	140
CYTIP	140
VAC14	141
KHDC1	141
MSRB3	141
EIF2S1	141
SIGLEC5	141
AC018755.2	141
OTOS	141
VHLL	141
PRMT7	141
MID2	142
MID1	142
RBCK1	142
PTCD2	142
WBP2	142
